FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
najants	1	1	1	1	1	1	0
jũũn éntsa	1	1	1	1	1	1	1
nayants	1	1	1	1	1	1	0
nayantsa	1	1	1	1	1	1	1
