FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
etʦami-	1	1	1	1	1	0	0	0	0	1
ɨ́hʦʰaméi	1	1	1	1	1	0	0	1	0	1
ésámáái-ʔi	1	0	1	1	1	1	1	1	1	1
