FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
ʔuuʔi	0	0	1	1	1	1	1
ooʔíí-pʲe	1	1	1	1	1	1	1
-ʔui	0	0	1	1	1	0	0
