FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
wangkármachu	1	1	1	1	1	1	1	1	1	1
wankarmachu	1	1	1	1	1	1	1	1	1	1
