FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
mugúde	1	1	1	1	0	0	1	1	0
bukunat	1	1	1	1	1	1	1	0	0
mukunátin	1	1	1	1	1	1	1	1	1
muku-n-a	1	1	1	1	1	1	0	0	0
mukunat	1	1	1	1	1	1	1	0	0
