FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
ʦooʔdi	1	1	1	1	0	1	0	0	1
ʦʰeʔti	1	1	0	1	0	1	0	0	1
séédi-ʔi	1	1	0	0	1	1	1	1	1
