FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
hanóde	1	1	0	0	1	1	1	1
harode	1	1	0	0	1	1	1	1
hakonote	1	1	1	1	1	1	1	1
moníde	1	1	0	0	1	1	1	1
