FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
anɨntai	1	1	1	1	1	0	1
nintí	0	1	1	1	1	0	1
anentái	1	1	1	1	1	0	1
anentai	1	1	1	1	1	1	1
