FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
hakɯ́ruite	1	1	1	1	1	1	1	1	1
hakɯnaite	1	1	1	1	1	0	1	1	1
hakɯ́ruiɗe	1	1	1	1	1	1	1	1	1
