FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
majatut	1	1	1	0	0	1	1	0	1	1
mayáiratin	1	1	1	1	1	1	1	0	1	1
mayat-ka	1	1	1	0	0	1	1	1	1	0
mayat	1	1	1	0	0	1	1	0	0	0
