FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
bɯm̥õɲ̥á	1	1	0	0	1	1	1	1
xɯtʲamóóɲ̥a	1	1	1	1	1	1	1	1
móna	0	0	0	0	1	1	1	1
mona	0	0	0	0	1	1	1	1
móna	0	0	0	0	1	1	1	1
