FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
maam̥ɯ	1	1	1	0	0	1
mámekɯ	1	1	1	1	1	1
mamekɯ	1	1	1	1	1	1
mámekɯ	1	1	1	1	1	1
momo	1	1	1	0	0	1
meme	1	1	1	0	0	1
mómo	1	1	1	0	0	1
