FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
haɯ́kɯna	1	1	1	1	1	1	0	0	1
haɯ́kɯnade	1	1	1	1	1	1	1	1	1
