FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
amɨɨai	1	1	1	1	0	1	1
ámɯɯ́ʔa	1	1	1	1	1	1	0
amɨ́ɨ́ʔai	1	1	1	1	1	1	1
