FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
maan̥ɯ	1	1	1	0	0	0	0	0	1
monáiʤahi	1	1	1	1	1	1	1	1	1
monaiʤai	1	1	1	1	0	1	0	0	1
monáiʤai	1	1	1	1	1	1	1	0	1
maɾɨ	1	1	1	0	0	0	0	0	1
