FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
hɯtʲááxo	1	1	1	1	1	0	0	0	1
hédakɯede	1	1	1	1	1	1	1	1	1
hedakɯede	1	1	1	1	1	1	1	1	1
hédakɯede	1	1	1	1	1	1	1	1	1
