FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
nanámtin	1	1	1	1	1	1	1	1
nanamtin	1	1	1	1	1	1	1	1
nanamtin	1	1	1	1	1	1	1	1
