FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
ukuntʃ	1	1	1	1	1	0
kúnch	0	1	1	1	1	0
ukunch’	1	1	1	1	1	1
ukunch	1	1	1	1	1	0
