FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
ìgɯ́roɯ	0	1	1	1	1	1	1
aìgɯ́roɯ	1	1	1	1	1	1	1
áɯkɯ	1	1	1	0	0	0	1
aɯgɯro	1	0	1	1	1	1	0
aɯkɯ	1	0	1	0	0	0	1
igɯ́roɯ	0	1	1	1	1	1	1
áɯkɯ	1	1	1	0	0	0	1
