FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
rɯ́ɯrede	1	1	0	0	1	1	1	1
rɯhɯrede	1	1	1	1	1	1	1	1
rɯ́ɯrede	1	1	0	0	1	1	1	1
