FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
dáɯde	0	1	1	1	1	1	0
raite	0	1	1	0	1	1	0
dáɯde	0	1	1	1	1	1	0
itɨɾin	1	1	1	0	1	1	1
títin	0	1	1	0	1	1	1
