FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
píʔko	1	1	1	1	0	0	1
piku	1	1	0	1	0	0	1
pʰikʰʲo	1	1	0	1	0	0	1
ɸíkú-ʔi	1	1	0	1	1	1	1
