FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
máaniktin	1	1	0	1	1	1	1	1	1
máni-k	1	1	0	1	1	1	0	0	0
maanit	1	1	1	1	1	0	1	0	0
