FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
rɯìŋo	0	0	1	1	1	1	1
rɯɲo	0	0	1	0	1	1	1
rɯìŋo	0	0	1	1	1	1	1
aslanḗ	1	1	1	0	1	1	1
