FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
nɯrúido	1	1	1	1	1	1	1
nɯruido	1	1	1	1	0	1	1
nɯrúido	1	1	1	1	1	1	1
