FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
kuntin	1	1	1	1	1	1	0
kæ̃dĩgã	1	1	0	1	1	1	1
kuntin	1	1	1	1	1	1	0
