FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
rɯɸáide	1	1	1	1	1	1	1
rɯɸaide	1	1	1	1	0	1	1
rɯ́paide	1	1	1	1	1	1	1
