FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
ukɨɾa	0	1	1	1	1	0	0	1
tschu-gerühó	1	1	1	1	1	1	1	1
su-kiriu	1	1	1	1	1	1	0	1
kireú	0	0	1	1	1	1	0	1
