FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
higkat	1	1	1	1	1	1	0	0
jingkiátin	1	1	1	1	1	1	1	1
jinkiá-	1	1	1	1	1	0	1	0
jinkat	1	1	1	1	1	1	0	0
