FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
nanámtin	1	1	1	1	1	0	1	1	1
nana-k	1	1	1	1	1	0	0	0	0
nanamat	1	1	1	1	1	1	1	0	0
aneɲets	0	1	1	1	1	1	1	0	0
