FORM	Slot1	Slot2	Slot3	Slot4	Slot5
hɯáɯ	1	1	1	1	0
hɯáɯe	1	1	1	1	1
hɯaɯe	1	1	1	1	0
hɯáɯ	1	1	1	1	0
hɯáɯɯe	1	1	1	1	1
