FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
pikaba	1	1	0	1	1	1	1
pʰíhkʰʲapa	1	1	1	1	1	1	1
ɸikába	1	1	0	1	1	1	1
