FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
itɨ́ɨni	1	1	1	0	0	1	1	0
ateɲets	1	1	1	0	0	1	1	1
ɨtɨkwanu	1	1	1	1	1	1	1	0
