FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
intaʃ	1	1	1	0	1	1	0
intásh	1	1	1	0	1	1	0
enchek	1	1	1	0	1	1	0
intiash’	1	1	1	1	1	1	1
intash	1	1	1	0	1	1	0
