FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
héʔe	1	1	0	1	0	0	0	1
ɨnhane	0	1	1	1	1	1	0	1
hoʔ-	1	1	0	1	0	0	0	0
éʔ-neé	0	1	0	1	0	1	1	1
hóʔo-no	1	1	0	1	1	1	0	1
