FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
ʤɯ́kɯai	1	1	1	1	1	0	1
ɯeθɯ	0	1	0	1	0	1	1
ʤɯkɯθi	1	1	1	1	0	1	1
ɯeθɯ	0	1	0	1	0	1	1
úatɯ	0	1	0	1	0	1	1
rɯʤe	1	1	0	0	0	1	1
aitša	0	1	0	1	0	1	1
