FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
nɨnɨɾa	1	1	1	1	0	1	1
ñinekla	1	1	1	1	1	1	1
neɲet͡s	1	1	1	1	1	0	0
