FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
bá	1	1	0	0	0	0
bɯ̃́	1	1	0	0	0	0
bené	1	1	1	0	0	1
benó	1	1	1	0	0	1
benomo	1	1	1	1	1	1
benó	1	1	1	0	0	1
