FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
antut	1	1	1	1	0	1	0	0
antúktin	1	1	1	1	1	1	1	1
ant-uk	1	1	1	1	1	0	0	0
antut	1	1	1	1	0	1	0	0
