FORM	Slot1	Slot2	Slot3	Slot4
ããɲi	0	1	1	1
ɲi	0	0	1	1
ɲ̥i	0	0	1	1
nií	0	0	1	1
ɲe	0	0	1	1
ɲe	0	0	1	1
ɲe	0	0	1	1
náni	1	1	1	1
ne	0	0	1	1
