FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
gaʔa-ro	1	1	1	1	1	1	0	0
kʷaʔáro	1	1	1	1	1	1	0	0
gáʔárubi	1	1	1	1	1	1	1	1
