FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
kampatum	1	1	1	1	1	1	1	1
kampátam	1	1	1	1	1	1	1	1
kampatum	1	1	1	1	1	1	1	1
