FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11	Slot12	Slot13
anɨntaimat	1	1	1	1	1	0	1	1	0	1	1	0	0
nintímratin	0	1	1	1	1	0	1	1	1	1	1	1	1
enentáim-sa	1	1	1	1	1	0	1	1	0	0	1	1	0
anentaimat	1	1	1	1	1	1	1	1	0	1	1	0	0
