FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
juku	1	1	0	1	1	0	0	0
yukú̃ũ	1	1	0	1	1	0	0	0
yunkúnim	1	1	1	1	1	1	1	1
yunkunim	1	1	1	1	1	1	1	1
