FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
hel̪ad̺un̪ãã́	1	1	1	1	1	1	0	1	1	1
hel̪ad̺uan̪ãã́	1	1	1	1	1	1	1	1	1	1
