FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
makitʃik	1	1	1	1	1	1	1
kíchik	0	0	1	1	1	1	1
chikíchik	1	1	1	1	1	1	1
tikichik	1	1	1	1	1	1	1
