FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
ʦukkume-he	1	1	1	1	1	1	1	1	1
ʦʰóhkʰómɯ-hɨ	1	1	1	1	1	1	1	1	1
súkkume-he	1	1	1	1	1	1	1	1	1
