FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
bai-giihɨ	1	1	1	1	1	1	1	1
pá-ʧiíhʲɯ	1	1	0	1	1	1	1	1
bai-gííhɨ	1	1	1	1	1	1	1	1
