FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
nume-	1	1	1	0	0	0	0	1
ɲomɨ	1	1	1	0	0	0	0	1
núménéne	1	1	1	1	1	1	1	1
