FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
nehe	1	1	0	1	0	0	1
nɨ́ɨ́hɨ-kʷa	1	1	1	1	1	1	1
néhe-ba	1	1	0	1	1	1	1
