FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
ɯdá kairo	1	1	1	1	1	1	1	1
ɯda kairo	1	1	1	1	1	0	1	1
ɯdá kairo	1	1	1	1	1	1	1	1
