Doculect	Concept	Form	Note
Juri	femur	tschu-góma	
Juri	femur	su-ghôma	
Juri	filia	tschöwü	
Juri	filia	suabüe	
Juri	filius	oná	
Juri	filius	suuné	
Juri	filius	owúye	
Juri	flavus	goättä	Not sure about the consonant cluster
Juri	flavus	ghuury	
Juri	flavus	coeti	
Juri	flos	noohwü	
Juri	foedus, a, um	ähi	
Juri	foedus, a, um	yawy	
Juri	folium	nointjú	
Juri	folium	noiyóu	
Juri	frater	imá	
Juri	frater	suimai	
Juri	frigidus, a, um	reréya	
Juri	frons	tschu-hiwäo	
Juri	frons	su-iweu	
Juri	fulgur	ijauá	
Juri	fulgur	yoa	
Juri	gramen	pinóu	
Juri	gusto	tschu-năĭihä	
Juri	gusto	schanekotite	
Juri	hallux	tschu-obómi	
Juri	hebdomas una	ghomea tai-opoa	
Juri	hesperus	ohogo	
Juri	homo	tschoko	
Juri	homo	soku	
Juri	homines multi	tosopuîna ghoküa	
Juri	homines pauci	ghomea puîna	
Juri	hostis	tschuänuonohó	
Juri	humerus	tschu-mäati	
Juri	humerus	suayú	
Juri	ignis	ji	
Juri	ignis	yy	
Juri	ignis	ii	
Juri	ille	niy	
Juri	infans	uhé	
Juri	juvenis	racoatä	
Juri	labium	tschú-anä	
Juri	labium	su-ané	
Juri	lac	thiätté	
Juri	lacertus	tschu-inóo	
Juri	latus, a, um	tihi	
Juri	lectus pensilis	nehipé	
Juri	lingua	tscho-olä	
Juri	lingua	su-utè	
Juri	lingua	(tcho) uté	
Juri	longus	mähä	
Juri	longus	maêe	
Juri	longus	meyé	
Juri	lucifer	okóone toioi	
Juri	luna	noohmo	
Juri	luna	nouma	
Juri	luna	noimo	
Juri	luna prima	liäho	
Juri	luna prima	nouma iba	
Juri	luna nova	numanähatä	
Juri	luna nova	nouma nyoi	
Juri	luna plena	tairiaiwao	
Juri	luna plena	nouma-ai-beu	
Juri	luna decrescens	liraäha	
Juri	macer	ihägh	
Juri	magnus	tihi	
Juri	magnus	tiy	
Juri	magus, praestigiator	seyú	
Juri	mala	tschu-tomätig	
Juri	malus, a, um	eén	
Juri	mamma	su-unite	
Juri	manus	tschu-enóo	
Juri	manus	su-unóo	
Juri	manus	(tcho) upumáu	
Juri	mare	nada-tii	
Juri	maritus (conjux)	wesokoy	
Juri	mater	ijoho	
Juri	mater	suay	
Juri	mater	iyuhó	
Juri	membrum virile	tschu-tschú	
Juri	membrum virile	su-uke	
Juri	membrum muliebre	timóli	
Juri	membrum muliebre	ghu-yamory	
Juri	mensis unus	ghomeá tainûmo	
Juri	meridies	tainóhno	
Juri	meridies	nōonu	
Juri	meus	tschuáh	
Juri	mingo	tschauaritschürí	
Juri	mollis, e	coaná	
Juri	mons	poa	
Juri	morior	tschatsché	
Juri	mortuus (est)	tsché	
Juri	mulier	suryu	
Juri	mulier mea	tsut-auani	
Juri	mulier mea	ytschuinyo	
Juri	mulier tua	yus-yínya	
Juri	mulier sua	yu yinyo	
Juri	multus	bäóho	
Juri	nasus	tschu-ugónne	
Juri	nasus	su-kane	
Juri	nasus	youcóne	
Juri	niger	tschuhí	
Juri	niger	suy	
Juri	niger	tuyí	
Juri	non	tiwá	
Juri	non	ghainà	
Juri	nos	too	
Juri	nox	taiaeboi	
Juri	nox	toipuy	
Juri	nox	epóri	
Juri	nox media	niakoby	
Juri	nox media	toi poumony	
Juri	occido	tschanutsché	
Juri	occiput	su-iwiika	
Juri	oculus	tschu-äti	
Juri	oculus	su-itty	
Juri	oculus	(tcho) ití	
Juri	olfacio	tschu-nämä	
Juri	olfacio	schanême	
Juri	olla	coöwé	
Juri	omnes	to(a)ho(a)	
Juri	omnes	tiyo	
Juri	orion	nogábico	
Juri	orion	ukooneo	
Juri	oro	ohihó	
Juri	os, oris	tschu-ijägh	
Juri	os, oris	suya	
Juri	os, oris	(tcho) iá	
Juri	os, ossis	niano	
Juri	os, ossis	(tcho) uinó	
Juri	ovum	eaté	
Juri	panis mandioccae	oró	
Juri	patella	tschu-obó	
Juri	patella	suopo	
Juri	pater	hato	
Juri	pater	suâtu	
Juri	pater	háto	
Juri	paucus	ihi	
Juri	pectus	tschu-ucomä	
Juri	pectus	su-oghome	
Juri	pes	tschu-óti	
Juri	pes	su-uty	
Juri	pes	(tscho) u-óti	
Juri	pingo	tsshuarenänú	
Juri	pinguis	ohói	
Juri	piscis	oöó	
Juri	pleiades	sejusí	
Juri	pleiades	seiuçu	
Juri	planto	tschauanäti	
Juri	pluma	naini	
Juri	poples	su-puy-ibika	
Juri	profundus	ukáa	
Juri	profundus	uitemi	
Juri	puella	sury	
Juri	puer	raiuute	
Juri	pulcher	ockó	
Juri	pulcher	uko	
Juri	radix	näti	
Juri	remus	noomé	
Juri	ruber	áhre	
Juri	ruber	aré	
Juri	ruber	ahrí	
Juri	sagitta	boconöno	
Juri	sagitta	poconé	
Juri	salto	taröhene	
Juri	sanguis	naigonihi	
Juri	sanguis	ükon-ia	
Juri	sanguis	ehcóni eri	
Juri	scapula	schu-pahra	
Juri	sebum	iiá	
Juri	semita, via	nemó	
Juri	senex	itä	
Juri	senex	raiuu	
Juri	sepelio	tschauúnäco	
Juri	sibilo	tschaniúmo	
Juri	sic, sane, recte	schay	
Juri	sic, sane, recte	oegh	
Juri	sicera	paia	
Juri	sol	ijü	
Juri	sol	yyú	
Juri	sol	iyé	
Juri	soror	tschute	
Juri	soror	sutiony	
Juri	stella	ohngo	
Juri	stella	ukoo	
Juri	stella	oúco	
Juri	supercilium	tschu-baetiagh	
Juri	supercilium	suu-pe'y	
Juri	sus	aáte	
Juri	sylva	noijú	
Juri	sylva	noiyú	
Juri	tabacum	iiyá	
Juri	tempus matutinum	a(o)hgucká	
Juri	tempus matutinum	roina	
Juri	terra	päă	
Juri	terra	péa	
Juri	testiculi	tschu-inicko	
Juri	testiculi	subinigho	
Juri	tonitru	märi	
Juri	tonitru	mehry	
Juri	tu	wikú	
Juri	tu	wiù	
Juri	tugurium	tino	
Juri	tugurium nostrum	su tiino	
Juri	tuus	wiháh	
Juri	veni huc!	ereiniáh	
Juri	venor	tschuinaihnió	
Juri	venter	tschu-urahi	
Juri	venter	su-rayy	
Juri	venter	tura-éh	
Juri	ventus	yu-nia	
Juri	ventus	rereáh	
Juri	vesper	toiroy	
Juri	vespere	pairóai	
Juri	video	tschan igó	
Juri	video	schau-wiraku	
Juri	vir	tchoucú	
Juri	viridis	tschúhmŏ	
Juri	vivo	nihcó	
Juri	umbilicus	tschu-toobi	
Juri	umbilicus	suune	
Juri	unguis	tschu-ubäti	
Juri	unguis	su-pêty	
Juri	volo, velle	tschanegottité	
Juri	1	ghoméa	
Juri	1	comäa	
Juri	1	coméeh	
Juri	2	panga	
Juri	2	peiá	
Juri	2	paoó	
Juri	3	umüea	
Juri	3	gojogóba	
Juri	3	keuyecopáh	
Juri	4	tariooma	
Juri	4	tărăaóba	
Juri	4	cominó púh	
Juri	5	ghomen-apa	(homos unus)
Juri	5	ticomenáueba	
Juri	5	wenóri	
Juri	6	orogoanahó	
Juri	6	paninopúh	
Juri	7	göjagabo oragaánaco	
Juri	8	göja-gobatäh	
Juri	9	tarao-anobá	
Juri	10	paiana-obá	
Juri	10	painoopa	
Juri	tapirus americanus	poory	
Juri	tapirus americanus	po(a)ri	
Juri	bos	ghüety	
Juri	bos	po(a)ri	
Juri	cervus	suumedy	
Juri	cervus	tschaungäh	
Juri	felis onça	wehry	
Juri	felis onça	wäri	
Juri	felis pardalis (maracaja)	wehry one	
Juri	felis concolor (çuçuarana)	wehry are	
Juri	canis	wéri	
Juri	canis azarae	gaihguschy	
Juri	cebus fatuellus (prego)	sülihry	
Juri	cebus gracilis (caiarara)	piriko	
Juri	callithrix torquato (oyapussá)	äeü	
Juri	lagothrix canus et Humboldti Geoffr. (barrigudo)	ghooby	
Juri	pithecia hirsuta (paraoá)	ukuenu	
Juri	pithecia ouacary (simia melanocephalus Hb.)	puoghu	
Juri	nyetipithecus felinus (yá)	yurỳ	
Juri	dasypus (tatu) major	niuté	
Juri	dasypus minor	niuté one	
Juri	nasua	surupy	
Juri	nasua	tschuopi	
Juri	hydrochoerus capivara	tschöó	
Juri	dicotyles	ahtä	
Juri	coelogenys paca	ükysé	
Juri	coelogenys paca	agoïtschö	
Juri	dasyprocta aguti	oko	
Juri	dasyprocta aguti	tschohmae	
Juri	myrmecophaga jubata	ahhly	
Juri	bradypus tridaetylus	apêy	
Juri	manatus	apina	
Juri	delphinus	amana	
Juri	crax globulosa (mutum de faba vel açu)	ghoipy	
Juri	crax tuberosa (mutum de vargem)	piury	
Juri	crax urumutum	akary	
Juri	gallus	gharaka	
Juri	gallina	gharaka aino	
Juri	psittacus macao	aoh	
Juri	psittacus ararauna	egho	
Juri	psittacus (minor) perikito	seré	
Juri	rhamphastos	yapoko	
Juri	penelope aracuan (aracuan)	meyüe	
Juri	penelope cumanensis (cuxuby)	oy	
Juri	gallinula plumbea (saracura)	suune	
Juri	anas brasiliensis	ghome	
Juri	emys amazonica	y-sauarú	
Juri	agama (camaleâo)	tschahnjá	
Juri	bufo agoa	cururú	
Juri	rana	co(a)co(a)té	
Juri	lacerta	tschahnjaá	
Juri	serpens	göohti	
Juri	crocodilus niger	aejú	
Juri	scarabaeus	järi	
Juri	fructus musae	oärama	
Juri	fructus musae	weramá	
Coeruna	aer	acópima
Coeruna	albus, a, um	hacoámö
Coeruna	anima	quisīthămé
Coeruna	animal	tschoaimá
Coeruna	aqua	nühó
Coeruna	arbor	taina
Coeruna	arcus	zschabaiahá
Coeruna	audire	ojagotjötschá
Coeruna	avia	coö
Coeruna	avis	öhockgömö
Coeruna	auris	comätoré
Coeruna	avunculus	cohataimé
Coeruna	avus	coisé
Coeruna	bibo, ere	erecocó
Coeruna	brachium	cuipa(i)
Coeruna	brevis, e	aonamö
Coeruna	caeruleus, a, um	mockorö
Coeruna	capillus	covaungeté
Coeruna	caput	copia
Coeruna	caro	goiá
Coeruna	coelum	auärettoä
Coeruna	collum	conämoó
Coeruna	connubo, ere	coquaai-rathia	(eamus connubere)
Coeruna	corpus	cocoome
Coeruna	coxa	coenggethühä
Coeruna	crus	oemoná
Coeruna	cubitus	cupíri
Coeruna	cutis	cunnühpehú
Coeruna	dens	cuirí
Coeruna	deus	toibá	(Tupi: tupána)
Coeruna	digitus	conŭcă
Coeruna	digitus	pedis maximus (hallux)	coerátje
Coeruna	digitus minimus	coetsjatshjá
Coeruna	domus	náisa
Coeruna	dormio, ire	coiná
Coeruna	dorsum	coamoho
Coeruna	edo, ere	ucumá
Coeruna	ego	coáe
Coeruna	farina	oha
Coeruna	femina	inoni
Coeruna	femur	ocküätná
Coeruna	filia	cuirá
Coeruna	filius	quäda
Coeruna	flavus, a, um	oassaimö
Coeruna	flos	aeeäé
Coeruna	fluvius	ráasĕ
Coeruna	foedus, a, um	berimö
Coeruna	folium	nĕhōphthó
Coeruna	frater	cohóme
Coeruna	frons, tis	coaíngha
Coeruna	fructus	iriaé
Coeruna	fulgur	corähamá
Coeruna	genu	opöneque
Coeruna	gusto, are	geröckgosó
Coeruna	guttur	conämoöh
Coeruna	homo (vir)	üaimé
Coeruna	humerus	cotogöraküh
Coeruna	ignis	aeithá
Coeruna	juvenis	aethemé
Coeruna	labium	coaeoré
Coeruna	lac	múnia
Coeruna	lacerta	muckórahäh
Coeruna	lacertus	cuitaküh
Coeruna	latus, a, um	aeneimöh
Coeruna	lingua	copäoré
Coeruna	longus, a, u	aeneimöh
Coeruna	lucifer (sidus)	nuckiaháe
Coeruna	luna	voattá
Coeruna	luna prima	öahothüe naequé	(crescit)
Coeruna	luna nova	voattá-humö
Coeruna	luna plena	nönétamata
Coeruna	luna decrescens	atheanai
Coeruna	macer, a, um	copairüva
Coeruna	magnus, a, um	vaamö
Coeruna	mala	copairüva
Coeruna	mane	natóqueica
Coeruna	manus	cunia
Coeruna	mare	páasĕ
Coeruna	mater	coí	(Sapibocona: cua)
Coeruna	membrum virile	comóĕssĕ
Coeruna	membrum muliebre	enácka
Coeruna	meridies	booquüemá
Coeruna	mingo, ere	nemoaá
Coeruna	mons	mucōăhugh
Coeruna	morior	giackopái
Coeruna	multus, a, um	näreó
Coeruna	mulier	inoni	(Haiti: inuya)
Coeruna	nasus	cuihottai
Coeruna	niger, a, um	coghohomö	(Moxo: ucomo)
Coeruna	non	öqué
Coeruna	nox	cannatozümá
Coeruna	oculus	coiaassá
Coeruna	olfacio, ere	nequaani
Coeruna	omnes	cannäreúma
Coeruna	orion	öhöri
Coeruna	oro, are	auéröttauäh
Coeruna	os, oris	coä
Coeruna	os, ossis	gottövúna
Coeruna	parvus, a, um	anoëtzü
Coeruna	patella	opönequé
Coeruna	pater	comú
Coeruna	paucus, a, um	anuaécki
Coeruna	pectus, oris	cuisittamé
Coeruna	pes, pedis	coëráhe
Coeruna	pinguis, e	pataimö
Coeruna	pleiades	nuckiahanuckó
Coeruna	pluma	ihóato
Coeruna	pulcher, a, um	hacómö
Coeruna	radix	ahonauó
Coeruna	ruber, a, um	ríumö
Coeruna	sagitta	ganügócki
Coeruna	salto, are	uquaanathia
Coeruna	sanguis	gorüŭnă
Coeruna	sapio, ere	geröckgosó
Coeruna	senex	jáme
Coeruna	sepelio, ire	gönögónehaung
Coeruna	serpens	átziú
Coeruna	sibilo, are	coauviára
Coeruna	sic, sane, recte	uä
Coeruna	sicera	cucumainopi
Coeruna	sol	äócke
Coeruna	soror	cotani
Coeruna	stella	ighkeahaí
Coeruna	supercilium	coiatéré
Coeruna	sylva	aeaittó	(Lule: ettuhu; Tamanaco: jutu)
Coeruna	tempus matutinum	natóqueicá
Coeruna	terra	noünáe	(Tamanaco: nono)
Coeruna	testiculi	itschö
Coeruna	tonitru	ámăeŭ
Coeruna	tu	oaë
Coeruna	umbilicus	comoará
Coeruna	unguis	cosittá
Coeruna	venor, ari	coquaăĭ-mackia	(eamus venatum)
Coeruna	venter	coinöckhüh
Coeruna	vespere	cannatozimá
Coeruna	video	jarecotiá
Coeruna	vir	ûaimé	(Tupi: uaimi = vetula)
Coeruna	viridis, e	mockomö
Coeruna	volo	oenagóa
Coeruna	tapirus americanus	auwái
Coeruna	bos	auwái
Coeruna	cervus	göghü
Coeruna	felix onça	öighó
Coeruna	nasua	niamaiquehö
Coeruna	dicotyles	isári
Coeruna	hydrochoerus capivara	gähö
Coeruna	coelogenys paca	ugönamé
Coeruna	dasyprocta aguti	pützĕhöh
Coeruna	crocodilus	maloasi
Coeruna	bufo agoa	imácka
Coeruna	rana	uquäque
Coeruna	scarabaeus	haorí
Coeruna	fructus musae	banäúra
Coeruna	deus pronobis facit fluvium, sylvam, omnem aquam, omne!	Toibá cauückie remenehü ráasé, aeaitto, ünú nüho, ünú!
Coeruna	omne pronobis factum est, ut bene vivamus	ünu canückie nemereä agatigocki
Coeruna	bonum esse oportet nos eliam	agaticocki neiwanicoira ocki
Coeruna	bene et sine offensa vivere cum sociis	agatigocki gahünotütze cubatoame
Peba	albus	papasey
Peba	aqua	ain
Peba	arbor	tapasey
Peba	arcus	canou
Peba	auris	mitiwa
Peba	brachium	viomoté
Peba	capilli	raino-say
Peba	caput	raino
Peba	cilia	vinimichi-ay
Peba	coelum	riesé
Peba	coeruleus	wasanou
Peba	collum	mipiisé
Peba	cor	caïshi
Peba	cymba	money
Peba	dens	viala
Peba	diabolus	yuna
Peba	digitus	brelan
Peba	domus	lowarrey
Peba	femina	watoa
Peba	flavus	wayou
Peba	flos	susaman
Peba	fluvius	nowa
Peba	folia	semay-nemey
Peba	frons, tis	vimo
Peba	fructus	nemasey
Peba	fulgur	reluya	(raio: hispan.)
Peba	hasta	ramoteu
Peba	herba	vashi
Peba	ignis	feula
Peba	infans	laira
Peba	lacus	mettao
Peba	lignum	aupou
Peba	lumen	renenau
Peba	luna	remelané
Peba	manus	vinitaily
Peba	mentum	vimella
Peba	mons	meussoy
Peba	nares	vinerro-ay
Peba	nasus	vinerro
Peba	nidus	rarou
Peba	niger	michalay
Peba	nubes	euré-euré
Peba	non	aanoy
Peba	oculus	vinimichi
Peba	os, oris	rito
Peba	pectus	vinitrelay
Peba	pes	vinimotay
Peba	pluvia	rayla
Peba	radix	natay
Peba	ruber	selourey
Peba	sabulum	tencha
Peba	sagitta	ruelou
Peba	sidera	larcé
Peba	sol	wana
Peba	supercilia	vicrousa
Peba	terra	capalé
Peba	sic, sane	tamoui
Peba	tonitru	malayere
Peba	tubulus pro sagittulis explodendis	naulassé
Peba	unguis	relanomaya
Peba	venenum sagittarum	romoley
Peba	venter	chameau
Peba	via, semita	nou	(nian: Kechua)
Peba	vir	comoley
Peba	1	tomeu-lay
Peba	2	nomoira
Peba	3	tamoimansa
Peba	4	namerayo
Peba	5	taonella
Peba	canis	nemey
Peba	tigris	nemey
Peba	tigris	puma
Peba	simia (in genere)	amou
Peba	midas	mouiou
Peba	chrysothrix	aounay
Peba	callithrix nigrifrons Sp.	sundico
Peba	ateles paniscus	couatá
Peba	mycetes	numni
Peba	lagothrix	oumon
Peba	tapirus	ameisha
Peba	crax	reishi
Peba	psittacus macao	appa
Peba	psittacus	coasi
Peba	crocodilus	nuerto
Peba	fructus musae	panara
Peba	mandiocca	coaleshé
