CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE	FORM
221	FIRE	fogo	
1221	NOSE	nariz	
695	GO	ir	
948	WATER	água	
674	MOUTH	boca	
1205	TONGUE	lí­ngua	
946	BLOOD	sangue	
1394	BONE	ossos	
1215	THOU	vocês	
670	ROOT	raiz	
1446	COME	vir	
1402	BREAST	seio, mama	
658	RAIN (PRECIPITATION)	chuva	
1209	I	eu	
1405	NAME	nome	
1392	LOUSE	piolho	
1257	WING	asa	
2615	FLESH OR MEAT	carne	
2121	ARM OR HAND		
1504	FLY (INSECT)	mosca	
1233	NIGHT	noite	
1247	EAR	orelha	
1333	NECK	pescoço	
1406	FAR	longe	
2575	DO OR MAKE	fazer	
1252	HOUSE	casa	
2125	STONE OR ROCK	pedra, calhau, rocha	
887	BITTER	amargo	
1458	SAY	dizer	
1380	TOOTH	dente	
1040	HAIR	pelo	
1202	BIG	ser grande	
1493	ONE	um, uma	
1235	WHO	quem?	
262	HE OR SHE OR IT	ele/ela/ele (ou ela)	
2133	STRIKE OR BEAT	bater, golpear	
2098	FOOT OR LEG		
1393	HORN (ANATOMY)	chifre, corno	
1214	THIS	este	
227	FISH	peixe	
1174	YESTERDAY	ontem	
1401	DRINK	beber, tomar	
163	BLACK	preto, negro	
1838	NAVEL	umbigo	
1442	STAND	levantar-se	
1403	BITE	morder	
1291	BACK	costas	
960	WIND	vento	
778	SMOKE (EXHAUST)	nevoeiro	
1236	WHAT	que?	
1801	CHILD (DESCENDANT)	filhos, prole	
744	EGG	ovo	
1447	GIVE	dar	
1231	NEW	novo	
1428	BURNING	queimar, arder	
1240	NOT	não	
1035	GOOD	bom	
3626	KNOW	SABER	
1371	KNEE	joelho	
671	SAND	areia	
1355	LAUGH	rir	
1408	HEAR	ouvir	
1228	EARTH (SOIL)	terra (solo)	
628	LEAF	folha	
156	RED	vermelho	
1224	LIVER	fígado	
2486	HIDE	ESCONDER	
763	SKIN	pele, couro	
1421	SUCK	chupar, sugar	
700	CARRY	levar	
587	ANT	formiga	
1210	HEAVY	pesado	
1749	TAKE	tomar	
1229	OLD	velho	
1336	EAT	comer	
471	UPPER LEG (THIGH)	coxa	
1244	THICK	grosso	
1203	LONG	longo	
175	BLOW (OF WIND)	soprar	
1803	WOOD	madeira	
1519	RUN	correr	
1280	FALL	cair	
1248	EYE	olho	
646	ASH	cinzas	
1220	TAIL	rabo	
2009	DOG	cão, cachorro	
1839	CRY	chorar	
1917	TIE	amarrar, atar	
1409	SEE	ver	
717	SWEET	doce	
1218	ROPE	corda, cordel	
1388	SHADE	sombra	
937	BIRD	pássaro, ave	
1274	SALT	sal	
1246	SMALL	pequeno	
1243	WIDE	largo	
1430	STAR	estrela	
1460	IN	em	
1884	HARD	duro	
1033	GRIND	moer	
