ID	WORD	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH
1	abi			
2	adfer!			
3	aegroto			
4	aër	27	AIR	1
5	albus	1335	WHITE	2
8	altus	1593	DEEP	1
9	amita			
649	anima			
12	annus (unus)			
13	anus			
14	aqua	948	WATER	5
17	habesne aquam?			
18	arbor	906	TREE	3
20	arcus	994	BOW	2
22	arcus coelestis			
23	audio	1408	HEAR	2
25	auditus (meus?)			
655	avia			
27	avis	937	BIRD	4
29	auris	1247	EAR	3
658	avunculus			
33	avus	1383	GRANDFATHER	1
35	barba	678	BEARD	2
36	bibo	1401	DRINK	2
37	bellum gero			
40	brachium (meum)			
41	brevis	1645	SHORT	2
44	calcaneus			
45	calidus, a, um			
46	capillus	1040	HAIR	1
49	capio (hostem)			
50	caput	1256	HEAD	4
53	caro	2259	FLESH	1
55	cerevisia e granis mais			
56	chorda			
57	cilium			
58	clavicula			
59	coelum	1565	HEAVEN	1
571	coeruleus			
63	cognatus			
64	collum	1333	NECK	2
671	connubo			
67	cor	1223	HEART	3
68	corbis			
69	corpus	1480	BODY	2
71	cortex	1204	BARK	2
72	costa			
73	coxa	1681	WAIST	1
75	crus	1297	LEG	1
76	cubitus	981	ELBOW	1
77	culter			
78	cutis	2613	SKIN (HUMAN)	1
79	da mihi			
80	dens	1380	TOOTH	4
83	deus	1944	GOD	2
678	diabolus			
86	dico, eloquor			
87	dies	1225	DAY (NOT NIGHT)	3
91	digiti	1303	FINGER	1
92	digit pedis			
93	domus	2406	HOME	1
94	dorsum	1291	BACK	2
95	durus, a, um			
96	edo	1336	EAT	2
97	ego	1209	I	2
99	farina	1594	FLOUR	1
101	femina	2105	FEMALE PERSON	1
687	femur			
104	filia	1357	DAUGHTER	2
106	filius	1620	SON	2
109	flavus	1424	YELLOW	2
112	flos	239	FLOWER	2
693	foedus, a, um			
115	folium	628	LEAF	2
117	frater	1262	BROTHER	2
119	frigidus, a, um			
120	frons	123	FOREHEAD	2
122	fulgur	1654	LIGHTNING	3
588	herba	606	GRASS	1
126	gusto			
127	hallux			
128	hebdomas una			
702	hesperus			
130	homo	683	PERSON	4
132	homines multi			
133	homines pauci			
704	hostis			
135	humerus	1482	SHOULDER	1
137	ignis	221	FIRE	3
140	ille	1211	HE	1
141	infans	1304	CHILD (YOUNG HUMAN)	1
142	juvenis	1207	YOUNG	2
708	labium			
145	lac	635	MILK	3
711	lacertus			
467	latus, a, um			
148	lectus pensilis			
149	lingua	1307	LANGUAGE	1
152	longus	1203	LONG	2
155	lucifer			
156	luna	1313	MOON	2
717	luna prima			
718	luna nova			
719	luna plena			
720	luna decrescens			
166	macer			
167	magnus	1202	BIG	1
169	magus, praestigiator			
723	mala			
171	malus, a, um			
172	mamma			
173	manus	2983	COMPANIONSHIP	1
176	mare	1474	SEA	4
177	maritus (conjux)			
178	mater	1216	MOTHER	4
728	membrum virile			
729	membrum muliebre			
185	mensis unus			
730	meridies			
188	meus			
189	mingo			
190	mollis, e			
191	mons	639	MOUNTAIN	4
192	morior	1494	DIE	2
735	mortuus (est)			
194	mulier	962	WOMAN	3
196	mulier mea			
197	mulier tua			
198	mulier sua			
199	multus	3452	MUCH	1
200	nasus	1221	NOSE	4
203	niger	163	BLACK	2
206	non	1240	NOT	1
208	nos	1212	WE	2
209	nox	1233	NIGHT	3
213	nox media			
742	occido			
215	occiput			
216	oculus	1248	EYE	4
744	olfacio			
221	olla			
745	omnes			
746	orion			
226	oro			
748	os, oris			
749	os, ossis			
232	ovum	744	EGG	3
233	panis mandioccae			
751	patella			
