Doculect,Concept,Form
EYE,n̪ũʰt̪á 
NOSE,aʰs̪í
FIRE,iʰs̪í
WATER,aʰkaɨ́
EAR,ɨd̺itʃú
TONGUE,l̪el̪é
HEAD,kuɨʰtɨɾ̺í
FISH,aʰt̪é
MOUTH,ɨhɨᶭaé
BLOOD,kujtʃan̪ã́
SMALL,l̪auhud̺í
GOOD,kawatʃá
TOOTH,kaʰt̪ɨ́
BIG,t̪as̪iṹhũĩ
SEE,kuad̺aá
DOG,d̺ẽmãẽ́
SLEEP,s̪in̪ĩã́
BLACK,hiʰtʃuhuái
WHITE,s̪umãhã́ĩ
LEAF,ahen̪ã́
BIRD,t̪ahaé
STONE,ahed̺í
NIGHT,han̪ũt̪ĩ́ĩ́
EGG,t̪ahé
NECK,n̪ɨ̃l̪ɨnṹ; ɨl̪ɨn̪ṹ
COME,ɨɰá
BONE,"bɨʰkɨ́, ebɨʰkɨ́"
SAND,kaɹ̺en̪ẽ́
BELLY,s̪ɨd̺í
SMOKE,s̪ɨɹ̺aá
HEAR,aun̪ãã́
SNAKE,aʰkan̪ṹ
STAR,ad̺as̪ihié
RED,l̪an̪ãhiĩ́
EAT,l̪en̪ũn̪iá
ROOT,hais̪í
HAND,bihí
DRY,haʰkuɹ̺ú
LEG,an̪ããẽ́
FOOT,t̪ihiá
WIND,kɨhɨan̪ã́
CLOUD,d̪ed̪e saʰkád̺i
BAD,baas̪ú
HAIR,kuɨʰt̪ɨd̺uhí
DRINK,kuʰkuwá
TAIL,n̪ɨ̃s̪eéi
LONG,kaɾ̺aʰt̪í
1S,kan̪ɨ̃́
NAME,kɨd̺aá
BITE,kal̪aá
FALL,kumũũá
WHAT,dʒa; dʒahé
ASH,ahan̪ẽ́
LIVER,l̪ahá
PERSON,kadʒá
WHO,dʒá
NEW,n̪ãdʒás̪iɲẽ
2S,ií
KILL,aʰt̪eiɲãã́
LAUGH,en̪ũãn̪ãã́
LOUSE,aʰt̪ad̺í́
SKY,d̪ed̪é
WET,s̪eʰt̪eẽ́t̪i
HEAVY,an̪ããĩʰt̪í
WALK,amɨ̃n̪ã́ã
FLY (MOVE THROUGH AIR),hiaaɨl̪ɨn̪ã
YELLOW,fʷan̪ãɾ̺a kaʰtá tuʰkuʷan̪ĩ
SIT,n̪ẽl̪aɨd̺iaá
WING,it̪ad̺ú
FAR,kud̺iaaé
ROPE,en̪ũũé
THIS,kaá
SUN,en̪ũt̪ú
GRASS,fʷas̪t̪ú
SHORT,s̪aɾ̺uʷeki
TREE,n̪ɨ̃ɨ̃n̪ã́
FIVE,s̪aukí
STAND,n̪ĩtʃaaɨd̺án̪ã
2PL,iɲad̺á
DAY (NOT NIGHT),hiitʃuú
SWIM,fʷitʃun̪ã́
BACK,han̪ũd̺í
DIG,bahen̪ãã́
NEAR,iʰtʃũṹ
SAY,ait̪un̪ã́
EARTH (SOIL),aʰt̪án̪ẽ́
LEFT,n̪ãhaabihí
GIVE,t̪en̪ãã́
RIGHT,d̺aut̪un̪ṹ
WHERE,dʒɨ́
FEAR (BE AFRAID),kasiɲãã́
SHARP,ahĩjãt̪í
VOMIT,n̪aɾuʷaká
FLOWER,ɨhɨɰan̪ẽ́
SALT,t̪ebé
THAT,n̪ĩĩ́
GREEN,beɾ̺aɨɾ̺isiiúhʷai
OLD,biiɲãã́
DIRTY,baʰt̪aẽẽ́ti
3PL,aʰkaaɨd̺ɨ́
FEATHER,t̪ahaae ɨhɨí
KNOW (SOMETHING),kuiʰt̪ɨkɨn̪ãã́
BLOW (OF WIND),fɨɰakaá
THROW,s̪ijeit̪uʷá
DIE,uʷá
BE ALIVE,iʰtʃauwá
ALL,s̪at̪ĩ́ĩ́
THICK,t̪as̪iṹhũãĩ
FAT (ORGANIC SUBSTANCE),ed̺en̪ẽ́
DUST,buhuiɲaaú
WOMAN,en̪ẽ́
HUNT,n̪ẽs̪ad̺ĩɲã́
BREATHE,n̪ed̺aiɲãã́
HEART,mũhũẽ́
HOLD,s̪iitʃaá
YEAR,ahaan̪ã́ã́
SPIT,kuɨl̪ɨn̪ẽ́n̪ã́
FOG,n̪ũʰkuʷen̪ã́
ROTTEN,s̪eʰt̪ɨn̪ã́ã
SMELL (PERCEIVE),s̪aiɲẽ́
COUNT,han̪iiɲã́
CORRECT (RIGHT),kawatʃá
WHEN,dʒa ban̪ã́
SCRATCH,fʷaɨɰãn̪ã́
SUCK,t̪uʰt̪uʷiká
HIT,t̪ijeit̪un̪ãã́
FOREST,n̪ɨ̃ɨ̃n̪ã́
SEW,t̪uʰkuun̪ã́
HOW,dʒat̪uʷan̪ẽ́ẽ́ĩ
STICK,en̪ɨ̃ᶭã́ 
SQUEEZE,t̪uʷakaá
1PL,kan̪ãkaán̪ã
