Doculect,Concept,Form
EYE,n̪ũʰt̪á 
SEED,n̪ũʰkɨᶭɨ́
FLOW,mũũd̪ud̺un̪ã́
BLUNT,ahit̪ijá
SEA,kɨʰkᶭan̪á
SING,n̪ẽn̪ãt̪én̪ã
LAKE,n̪ẽmɨ̃d̺í
THINK,kauɨn̪ã́
THIN,haɹe̥heéd̺iʲa
SWELL,n̪ĩhĩĩɾ̺íɲã
MOUNTAIN,n̪ɨ̃n̪á
MANY,ad̺ahĩĩ́
IN,kɨ́
SPLIT,n̪el̪ed̺ɨ́ᶭa
MALE PERSON,kiʰʧá
OTHER,l̪eeúʧa
WASH,kɨl̪eeká
RIVER,n̪ɨ̃ʰkɨᶭé
TIE,iʰʧuʷan̪ã́
AND,ʧããẽ́
BARK,ʤɨhɨd̺aá
STAB,d̺ɨkaait̪un̪ã́
WIDE,had̺ããt̪i
NARROW,t̪ud̺uéki
PULL,hiɨn̪ɨ̃n̪ɨ̃n̪ã́
PLAY,n̪ẽʰkuat̪ihján̪ãã
WORM,d̺ian̪ṹ
HERE,kaɨ́
PUSH,s̪ad̺un̪ãã́
STRAIGHT,d̪aɨhíd̪ĩ
THERE,t̪ahiʲá
AT,kɨ́
RUB,d̺ɨl̪ɨl̪ɨn̪ã́
IF,
CUT,saɨn̪ãã́
NOT,aiʲéi
ROAD,bed̪ú
SMOOTH,hiʧad̪akúhʷai
SNOW,d̪ed̪e s̪akád̺i
FIGHT,s̪un̪ãã́n̪ã
WIPE,kad̺ɨd̺ɨn̪ã́
FLOAT,mũd̪ud̺ʷan̪ã́
FEW,kud̺at̪aháhai
ANIMAL,t̪aibin̪ããẽ́
RAIN (RAINING),ɨᶭá el̪ú
CHILD (YOUNG HUMAN),kan̪ããn̪ãĩ́
BURNING,ahaat̪í
LIE (REST),n̪ẽl̪ud̺án̪ã
FREEZE,hel̪ad̺un̪ãã́ ; hel̪ad̺uan̪ãã́ 
BECAUSE,
WITH,aʲɲã́
GUTS,
SOME,ʤɨn̪ĩkúʷa
