1	animal	animal		oʎwa
2	dog	perro		ot͡ʃek
3	bird	pájaro	ot̃	otʲ	
4	snake	culebra		ʃet͡ʃepʲ
5	fish (noun)	pez; pescado		kak
6	louse	piojo		oʎ
7	worm (earthworm)	lombriz (no gusano)		oʎot͡ʃaɾe
8	grass	pasto		taˀteˀ
9	tree	árbol		sat͡s
10	name	nombre		sot͡ʃɲet͡s
11	father	padre		apaˀ
12	mother	madre		at͡ʃ
13	husband	esposo		ɽoʎaɾet͡s
14	wife	esposa		t͡ʃapoɾet͡s
15	man (male)	hombre		aʃeɲor / jakma
16	woman	mujer		kojaneʃa / jakma
17	child	niño		t͡ʃeʃa
18	person (humano)	persona		at͡ʃeɲ
19	head	cabeza		poɲ
20	ear	oreja		jet / etat͡s
21	eye	ojo		keʎojet͡s
22	nose	nariz		poemaʎant
23	mouth	boca		namoet͡s /poenam
24	tongue	lengua		neɲet͡s
25	tooth (front)	diente		asot͡s / paˀs
26	neck	cuello	c̈henopets	tʂenopets
27	belly	barriga		kotmat͡s
28	back (of body)	espalda	che'ñets	tʃeˀɲets
29	tail	rabo, cola		pasmeʎ
30	leg	pierna	t̃apats	tʲapats
31	foot	pie		tekat͡s patek
32	wing	ala		pʼapoe
33	hand	mano		otats / ʎot / not / pʲot / sot
34	heart	corazón		ʎot͡ʃeret͡s
35	guts	tripas; intestinos		pat͡ʃoret͡ʂ
36	liver	hígado		popan
37	bone	hueso		poenop
38	meat (flesh)	carne		et͡ʂ
39	fat (grease)	grasa		posé
40	skin (of person)	piel		paɽam
41	hair	pelo, cabello		et͡ʃet͡s / poet͡ʃ
42	feather (large)	pluma		papoé / aʎaɽa
43	blood 	sangre		poʀas / ʀasot͡s
44	root	raíz		poeɽet͡ʂ
45	bark (of tree)	corteza		pataʝ
46	leaf	hoja		aspán
47	flower	flor		ɾoɾ
48	fruit (berry)	fruta		at͡ssomapó/  aʀapo / naɾmet͡s
49	seed	semilla		poepoeɾe / poeɾet͡s
50	stick (of wood)	palo		sat͡ʃ / sat͡ʃep / t͡ʃesap
51	ashes	ceniza		sapoeɲ
52	mountain	montaña		aspenet͡ʃ
53	woods (forest)	bosque		poetsat͡ʃ
54	river	río		ontáp / poɲés / onsás
55	lake	lago		sapset͡s
56	sea	mar		sap
57	water	agua		oɲ
58	Ice	hielo		unt / sose / et͡ʃaɽ
59	fire	fuego	tso'	tsoˀ
60	smoke (noun)	humo		amos
61	earth (soil)	tierra		pat͡s
62	dust	polvo	pañe'te'	paɲeˀteˀ
63	sand	arena	mueñ	mʷeɲ
64	stone	piedra	mapue'	mapʷeˀ
65	road (path)	carretera (camino; trocha)	t̃ooñ	tʲoːɲ
66	egg	huevo	pa'me'	paˀmeˀ
67	rain	lluvia	o'	oˀ
68	snow	nieve		
69	fog	neblina	ohsaarets	oʰsaːɾets
70	sky	cielo	enet	enet
71	cloud	nube	ohs	oʰs
72	wind (breeze)	viento	m̃orr	mʲoɻ
73	sun	sol	atsne'	atsneˀ
74	star	estrella	ranto	ɾanto
75	day (daytime)	día	yet̃	jetʲ
76	night	noche	tsap	tsap
77	year	año	char	tʃaɾ
78	rope (cord)	cuerda	apec̈hrec̈h	apetʂɾetʂ
79	salt	sal	pos	pos
80	I	yo	na	na
81	thou (you)	tú	p̃a	pʲa
82	he	él	ña	ɲa
83	they	ellos	ñet	ɲet
84	we	nosotros	ya	ja
85	ye (you all)	ustedes	sa	sa
86	who (interrog)	quién	esesha't	eseʃaˀt
87	what (interrog.)	qué	eso't	esoˀt
88	this	este	añ	aɲ
89	that	ese; aquel	ñeñt̃	ɲeɲtʲ
90	live	vivir	correñets	koɻeɲets
91	die	morir	rromueñets	ɻomʷeɲets
92	freeze	congelar; helarse	che'neñets	tʃeˀneɲets
93	swell	hinchar	mueseñets	mʷeseɲets
94	fall (drop)	caer(-se)	ateñets	ateɲets
95	breathe	respirar	o'rrerreñets	oɻeɻeɲets
96	blow (wind)	soplar	a't̃oreñets	atʲoreɲets
97	sleep	dormir	mueñets	mʷeɲets
98	lie (be lying down)	echar(-se)	p̃aneñets	pʲaneɲets
99	sit	sentar(-se)	aneñets	aneɲets
100	stand	parar(-se)	t̃eñets	tʲeɲets
101	float	flotar	enopa'rrteñets	enopaˀɻteɲets
102	flow	fluir	mateñets	mateɲets
103	come	venir	hueñets	weɲets
104	walk	caminar		
105	fly (verb)	volar	aneñets	aneɲets
106	swim	nadar	pat̃eñets	patʲeɲets
107	turn (intr. v.)		voltear, girar	e'rramateñets	eˀɻamateɲets
108	play	jugar	yellsheñe'cheñets	jeʎʃeɲeˀtʃeɲets
109	see	ver	enteñets	enteɲets
110	smell (tr. v.)	oler	mosyeñets	mosjeɲets
111	hear	oír	e'mueñets	eˀmʷeɲets
112	know (facts)	saber	eñoteñets	eɲoteɲets
113	think	pensar	cot̃ape'cheñets	kotʲapeˀtʃeɲets
114	fear (verb)	temer	mecha'teñets	metʃaˀteɲets
115	count (verb)	contar	e'ñoteñets	eˀɲoteɲets
116	say	decir	oteñets	oteɲets
117	sing	cantar	morrecheñets	moɻetʃeɲets
118	laugh	reír	che'teñets	tʃeˀteɲets
119	eat	comer	rreñets	ɻeɲets
120	drink (verb)	beber		oɹeteɲet͡s
121	suck	chupar		t͡sot͡soteɲet͡s
122	bite	morder		at͡ʃɻeɲet͡s
123	spit (verb)	escupir		akoʃeɲet͡s
124	vomit (verb)	vomitar		atat͡steɲet͡s
125	scracth (itch)	rascar		waɻoteɲet͡s
126	hunt	cazar		ʃoteɲet͡s
127	burn (tr. v.)	quemar		et͡ʃomweɲet͡s
128	sew	coser		sept͡ʃat͡seteɲet͡s
129	tie (verb)	atar; amarrar		wankeɲet͡s
130	pull	jalar		t͡ʃetaɾeteɲet͡s
131	throw	tirar; lanzar		wapoɾeteɲet͡s
132	push	empujar		ent͡ʃeɲet͡s
133	squeeze	apretar		et͡ʃtateɲet͡s
134	dig	cavar; escarbar		ent͡seteɲet͡s
135	wash	lavar		epanateɲet͡s
136	wipe	limpiar		et͡ʃeɲet͡s
137	rub	sobar; fortar		ajankoteɲet͡s
138	give	dar		apweɲet͡s
139	hold (in hand)	agarrar; sostener		ɻemweɲet͡s
140	cut (verb)	cortar		ʃoɾeɲet͡s
141	split	partir; hendir		t͡ʃɨteɲet͡s
142	fight	pelear		t͡ʃetanneɲet͡s
143	hit	golpear		asöteɲet͡s
144	stab (or pierce)	perforar (penetrando); apuñalar		öɾeteɲet͡s
145	kill	matar		mɨseɲet͡s
146	smooth	liso		aʎiɲ
147	warm (hot weather)	caliente		at͡seɾ
148	cold (weather)	frío		senet͡ʃ
149	sharp (knife)	filudo; filoso		et͡sötaɲ
150	dull (knife)	desafilado		ama t͡sotaɲiʎaʎe
151	rotten (log)	podrido	potsañ	potsaɲ
152	straight	recto; derecho	pac̈harr	patʂaɻ
153	dirty	sucio	sosey	sosej
154	heavy	pesado	eñerr	eɲeɻ
155	wet	mojado	pore'	poreˀ
156	dry (adj./v.)	seco	porrarre'	poɻaɻeˀ
157	black	negro	quellue; yenanen	keʎʷe; jenanen
158	white	blanco	huallama't̃	waʎamaˀtʲ
159	red	rojo	tsama't̃	tsamaˀtʲ
160	yellow	amarillo	shomasher	ʃomaʃer
161	green	verde	aspan	aspan
162	new	nuevo	etserra	etseɻa
163	old (adj)	viejo	po'nmenesha'	poˀnmeneʃaˀ
164	good	bueno	cohuen	kowen
165	bad	malo	sosey	sosej
166	here	aquí; acá	arr	aɻ
167	there	ahí; allá	t̃arr	tʲaɻ
168	near	cerca	allame'tets	aʎameˀtets
169	far	lejos	allap̃ar	aʎapʲaɾ
170	right (side)	derecha	pac̈harr	patʂaɻ
171	left (side)	izquierda	echcot̃	etʃkotʲ
172	big	grande	atarr	ataɻ
173	wide	ancho	b̃at̃	βʲatʲ
174	thick	grueso	raquët	ɾakɪt
175	small	pequeño	añet̃oll	aɲetʲoʎ
176	thin	delgado	pue'per	pʷeˀpeɾ
177	narrow	angosto	quec̈hco	ketʂko
178	long	largo	allpocha'p̃	aʎpotʃaʷpʲ
179	short	corto; bajo (vertical)	coñe't̃	koɲeˀtʲ
180	one	uno		
181	two	dos	epa	epa
182	three	tres	ma'pa	maˀpa
183	four	cuatro	pa'tats	paˀtats
184	five	cinco	amnar	amnar
185	many	muchos	parroren	paɻaɾen
186	few	pocos	coñe't̃	koɲeˀtʲ
187	all	todos	allohuenet	aʎowenet
188	some	algunos	patantarr	patantaɻ
189	other	otro	po'poñ	poˀpoɲ
190	where (interrog.)	¿dónde?		
191	when (interrog)	¿cuándo?	esempo't	esempoˀt
192	how (interrog)	¿cómo?	errot̃ena't	eɻotʲenaˀt
193	in	en, adentro	-o	-o
194	right (correct)	correcto	atet̃	atetʲ
195	not	no	ama	ama
196	and	y	ñam̃a	ɲamʲa
197	because	porque	ñeñt̃o'mar	ɲeɲtʲoˀmaɾ
198	if	si	jaa	haː
199	at	en	-o	-o
200	with (accompaniment)	con	-o	-o
