ID	WORD	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH
373	Bach	947	STREAM	1
374	Schnelle	2935	CURRENT	
375	Quelle	849	SPRING (OF WATER)	4
378	Sek. Wald (purma)			
385	Blume	239	FLOWER	
387	Heliconia (situlli)			
388	Affe, allg.	1350	MONKEY	
389	heller Kapuzineraffe			
390	dunkler Kapuzineraffe			
392	Brüllaffe			
394	Spinnenaffe (maquisapa)			
395	Naachtaffe (musmuqui)			
398	Tigerkatze (tigrillo)			
400	Nasenbär			
404	Spießhirsch			
417	Aasgeier	1185	VULTURE	1
418	Kolibri	1589	HUMMINGBIRD	2
419	Zigeunerhuhn			
422	Penelope jacuacu (pucacunga)			
423	Arapaima gigas (paiche)			
424	Riesenwels (súngaro)			
427	Tejueidechse			
428	Eidechse	632	LIZARD	3
431	Lanzenschlange (jergón)			
432	Buschmeister (shushupi)			
433	Kröte	894	TOAD	5
434	Biene	665	BEE	6
436	Spinnweben	1065	SPIDER WEB	
439	Ding, Sache	738	THING
441	Kohle	1188	CHARCOAL	1
444	krank	1847	SICK	6
445	gesund (gut)			
448	rund	1395	ROUND	7
454	jung	1207	YOUNG	5
455	klug	2530	SMART	1
465	rechts	1019	RIGHT	4
466	links	244	LEFT	3
471	alle, alles			
472	nichts	687	NOTHING	3
480	erster	728	FIRST	3
481	letzter	1529	LAST (FINAL)	3
482	gute Leute			
483	gute Sache			
484	schlechte Leute			
485	ich esse			
486	ich schlafe			
487	ich töte			
488	Amazonas			
489	ein Affe			
490	mein Kopf			
491	dein Kopf			
492	sein Kopf			
493	unsere Köpfe			
494	meine Pflanzung			
495	deine Pflanzung			
496	Zahnreibe (Zähne)			
