NUMBER,ENGLISH,(other gloss lgs),SegmentedForm,Variants,Comment,Source (key),CONCEPTICON_ID,CONCEPTICON_GLOSS,,
1,EYE,n̪ũʰt̪á ,n̪ ũʰ t̪ á ,,,ura_2002_lex_eye,1248,EYE,,OJO
2,NOSE,aʰs̪í,aʰ s̪ í,,,ura_2002_lex_nose,1221,NOSE,,NARIZ
3,FIRE,iʰs̪í,iʰ s̪ í,,,ura_2002_lex_fire,221,FIRE,,FUEGO
4,WATER,aʰkaɨ́,aʰ k a ɨ́,,,ura_2002_lex_water,948,WATER,,AGUA
5,MOON,aʰt̪an̪ẽ́,aʰ t̪ a n̪ ẽ́,,,ura_2002_lex_moon,1313,MOON,,LUNA
6,EAR,ɨd̺itʃú,ɨ d̺ i tʃ ú,,,ura_2002_lex_ear,1247,EAR,,OREJA
7,TONGUE,l̪el̪é,l̪ e l̪ é,,,ura_2002_lex_tongue,1205,TONGUE,,LENGUA
8,HEAD,kuɨʰtɨɾ̺í,k u ɨʰ t ɨ ɾ̺ í,,,ura_2002_lex_head,1256,HEAD,,CABEZA
9,FISH,aʰt̪é,aʰ t̪ é,,,ura_2002_lex_fish,227,FISH,,PEZ
10,MOUTH,ɨhɨᶭaé,ɨ h ɨᶭ a é,,,ura_2002_lex_mouth,674,MOUTH,,BOCA
11,BLOOD,kujtʃan̪ã́,k u + i tʃ a n a ,,ASC-blood',ura_2002_lex_blood,946,BLOOD,,SANGRE
12,SMALL,l̪auhud̺í,l̪ a u h u d̺ í,,,ura_2002_lex_small,1246,SMALL,,PEQUEÑO
13,GOOD,kawatʃá,k a w a tʃ á,,,ura_2002_lex_good,1035,GOOD,,BIEN
14,TOOTH,kaʰt̪ɨ́,k aʰ t̪ ɨ́,,,ura_2002_lex_tooth,1380,TOOTH,,DIENTE
15,BIG,t̪as̪iṹhũĩ,t a s i ṹ + h a + ĩ ,,be.big-DER-NMLR',ura_2002_lex_big,1202,BIG,,GRANDE
16,SEE,kuad̺aá,k u a d̺ a + a ,,see-NMLR',ura_2002_lex_see,1409,SEE,,VER
17,DOG,d̺ẽmãẽ́,d̺ ẽ m ã ẽ́,,,ura_2002_lex_dog,2009,DOG,,PERRO
18,SLEEP,s̪in̪ĩã́,s i n i + a ,,sleep-NMLR',ura_2002_lex_sleep,1585,SLEEP,,DORMIR
19,BLACK,hiʰtʃuhuái,h i tʃ u + h a + i ,,be.black-DER-NMLR',ura_2002_lex_black,163,BLACK,,NEGRO
20,WHITE,s̪umãhã́ĩ,s u m a + h a + i ,,be.white-DER-NMLR',ura_2002_lex_white,1335,WHITE,,BLANCO
22,LEAF,ahen̪ã́,a h e n̪ ã́,,,ura_2002_lex_leaf,628,LEAF,,HOJA
24,BIRD,t̪ahaé,t̪ a h a é,,,ura_2002_lex_bird,937,BIRD,,PÁJARO
25,STONE,ahed̺í,a h e d̺ í,,,ura_2002_lex_stone,857,STONE,,PIEDRA
26,NIGHT,han̪ũt̪ĩ́ĩ́,hanũ-tĩ́-ĩ́ ,,be.dark-INTENS-NMLR',ura_2002_lex_night,1233,NIGHT,,NOCHE
27,EGG,t̪ahé,t̪ a h é,,,ura_2002_lex_egg,744,EGG,,HUEVO
28,NECK,n̪ɨ̃l̪ɨnṹ; ɨl̪ɨn̪ṹ,n̪ ɨ̃ l̪ ɨ n ṹ,,,ura_2002_lex_neck,1333,NECK,,CUELLO
29,COME,ɨɰá,ɨ ɰ á,,,ura_2002_lex_come,1446,COME,,VENIR
30,BONE,"bɨʰkɨ́, ebɨʰkɨ́",b ɨʰ k ɨ́,e b ɨʰ k ɨ́,,ura_2002_lex_bone,1394,BONE,,HUESO
31,COLD,hel̪aɹ̺un̪ã́a,h e l a d̺ u n̪ ã́ + a,,be.cold-NMLR,ura_2002_lex_cold,1287,COLD,,FRÍO
32,SAND,kaɹ̺en̪ẽ́,k a ɹ̺ e n̪ ẽ́,,,ura_2002_lex_sand,671,SAND,,ARENA
33,SKIN,kad̪í,k a d̪ í,,,ura_2002_lex_skin,763,SKIN,,PIEL
35,BREAST,ɨs̪itʃú,ɨ s̪ i tʃ ú,,,ura_2002_lex_breast,1402,BREAST,,MAMA
36,BELLY,s̪ɨd̺í,s̪ ɨ d̺ í,,,ura_2002_lex_belly,1251,BELLY,,BARRIGA
37,SMOKE,s̪ɨɹ̺aá,s̪ ɨ ɹ̺ a á,,,ura_2002_lex_smoke,778,SMOKE (EXHAUST),,HUMO
38,HEAR,aun̪ãã́,a u n a + a ,,hear-NMLR',ura_2002_lex_hear,1408,HEAR,,ESCUCHAR
