Doculect	Concept	Form
Canichana	ALL	
Canichana	AND	
Canichana	ANIMAL	
Canichana	ASH	
Canichana	AT	
Canichana	BACK	
Canichana	BAD	
Canichana	BARK	
Canichana	BECAUSE	
Canichana	BELLY	
Canichana	BERRY	
Canichana	BIG	
Canichana	BIRD	
Canichana	BITE	
Canichana	BLACK	
Canichana	BLOOD	
Canichana	BLOW (OF WIND)	
Canichana	BONE	
Canichana	BREATHE	
Canichana	BURNING	
Canichana	CHILD (YOUNG HUMAN)	
Canichana	CLOUD	
Canichana	COLD (OF WEATHER)	
Canichana	COME	
Canichana	COUNT	
Canichana	CUT	
Canichana	DAY (NOT NIGHT)	
Canichana	DIE	
Canichana	DIG	
Canichana	DIRTY	
Canichana	DOG	
Canichana	DRINK	
Canichana	DRY	
Canichana	BLUNT	
Canichana	DUST	
Canichana	EAR	
Canichana	EARTH (SOIL)	
Canichana	EAT	
Canichana	EGG	
Canichana	EYE	
Canichana	FALL	
Canichana	FAR	
Canichana	FAT (ORGANIC SUBSTANCE)	
Canichana	FATHER	
Canichana	FEAR (BE AFRAID)	
Canichana	FEATHER	
Canichana	FEW	
Canichana	FIGHT	
Canichana	FIRE	
Canichana	FISH	
Canichana	FIVE	
Canichana	FLOAT	
Canichana	FLOW	
Canichana	FLOWER	
Canichana	FLY (MOVE THROUGH AIR)	
Canichana	FOG	
Canichana	FOOT	
Canichana	FOUR	
Canichana	FREEZE	
Canichana	GIVE	
Canichana	GOOD	
Canichana	GRASS	
Canichana	GREEN	
Canichana	GUTS	
Canichana	HAIR	
Canichana	HAND	
Canichana	HE	
Canichana	HEAD	
Canichana	HEAR	
Canichana	HEART	
Canichana	HEAVY	
Canichana	HERE	
Canichana	HIT	
Canichana	HOLD	
Canichana	HOW	
Canichana	HUNT	
Canichana	HUSBAND	
Canichana	I	
Canichana	ICE	
Canichana	IF	
Canichana	IN	
Canichana	KILL	
Canichana	KNOW (SOMETHING)	
Canichana	LAKE	
Canichana	LAUGH	
Canichana	LEAF	
Canichana	LEFT	
Canichana	LEG	
Canichana	LIE (REST)	
Canichana	BE ALIVE	
Canichana	LIVER	
Canichana	LONG	
Canichana	LOUSE	
Canichana	MALE PERSON	
Canichana	MANY	
Canichana	FLESH OR MEAT	
Canichana	MOTHER	
Canichana	MOUNTAIN	
Canichana	MOUTH	
Canichana	NAME	
Canichana	NARROW	
Canichana	NEAR	
Canichana	NECK	
Canichana	NEW	
Canichana	NIGHT	
Canichana	NOSE	
Canichana	NOT	
Canichana	OLD	
Canichana	ONE	
Canichana	OTHER	
Canichana	PERSON	
Canichana	PLAY	
Canichana	PULL	
Canichana	PUSH	
Canichana	RAIN (RAINING)	
Canichana	RED	
Canichana	CORRECT (RIGHT)	
Canichana	RIGHT	
Canichana	RIVER	
Canichana	ROAD	
Canichana	ROOT	
Canichana	ROPE	
Canichana	ROTTEN	
Canichana	RUB	
Canichana	SALT	
Canichana	SAND	
Canichana	SAY	
Canichana	SCRATCH	
Canichana	SEA	
Canichana	SEE	
Canichana	SEED	
Canichana	SEW	
Canichana	SHARP	
Canichana	SHORT	
Canichana	SING	
Canichana	SIT	
Canichana	SKIN (HUMAN)	
Canichana	SKY	
Canichana	SLEEP	
Canichana	SMALL	
Canichana	SMELL (PERCEIVE)	
Canichana	SMOKE (EXHAUST)	
Canichana	SMOOTH	
Canichana	SNAKE	
Canichana	SNOW	
Canichana	SOME	
Canichana	SPIT	
Canichana	SPLIT	
Canichana	SQUEEZE	
Canichana	STAB	
Canichana	STAND	
Canichana	STAR	
Canichana	STICK	
Canichana	STONE	
Canichana	STRAIGHT	
Canichana	SUCK	
Canichana	SUN	
Canichana	SWELL	
Canichana	SWIM	
Canichana	TAIL	
Canichana	THAT	
Canichana	THERE	
Canichana	THEY	
Canichana	THICK	
Canichana	THIN	
Canichana	THINK	
Canichana	THIS	
Canichana	THOU	
Canichana	THREE	
Canichana	THROW	
Canichana	TIE	
Canichana	TONGUE	
Canichana	TOOTH	
Canichana	TREE	
Canichana	TURN AROUND	
Canichana	TWO	
Canichana	VOMIT	
Canichana	WALK	
Canichana	WARM (OF WEATHER)	
Canichana	WASH	
Canichana	WATER	
Canichana	WE	
Canichana	WET	
Canichana	WHAT	
Canichana	WHEN	
Canichana	WHERE	
Canichana	WHITE	
Canichana	WHO	
Canichana	WIDE	
Canichana	WIFE	
Canichana	WIND	
Canichana	WING	
Canichana	WIPE	
Canichana	WITH	
Canichana	WOMAN	
Canichana	FOREST	
Canichana	WORM	
Canichana	YOU	
Canichana	YEAR	
Canichana	YELLOW	
