Doculect,Concept,Form
Muniche,98,
Muniche,1577,
Muniche,619,
Muniche,646,
Muniche,1461,
Muniche,1291,
Muniche,1292,
Muniche,1204,
Muniche,1157,
Muniche,1251,
Muniche,904,
Muniche,1202,
Muniche,937,
Muniche,1403,
Muniche,163,
Muniche,946,
Muniche,175,
Muniche,1394,
Muniche,1407,
Muniche,1428,
Muniche,1304,
Muniche,1489,
Muniche,2483,
Muniche,1446,
Muniche,1420,
Muniche,1432,
Muniche,1225,
Muniche,1494,
Muniche,1418,
Muniche,1230,
Muniche,2009,
Muniche,1401,
Muniche,1398,
Muniche,379,
Muniche,2,
Muniche,1247,
Muniche,1228,
Muniche,1336,
Muniche,744,
Muniche,1248,
Muniche,1280,
Muniche,1406,
Muniche,323,
Muniche,1217,
Muniche,1419,
Muniche,1201,
Muniche,1242,
Muniche,1423,
Muniche,221,
Muniche,227,
Muniche,493,
Muniche,1574,
Muniche,2003,
Muniche,239,
Muniche,1441,
Muniche,249,
Muniche,1301,
Muniche,1500,
Muniche,1431,
Muniche,1447,
Muniche,1035,
Muniche,606,
Muniche,1425,
Muniche,1334,
Muniche,1040,
Muniche,1277,
Muniche,1211,
Muniche,1256,
Muniche,1408,
Muniche,1223,
Muniche,1210,
Muniche,136,
Muniche,1433,
Muniche,1448,
Muniche,1239,
Muniche,1435,
Muniche,1200,
Muniche,1209,
Muniche,617,
Muniche,1459,
Muniche,1460,
Muniche,1417,
Muniche,1410,
Muniche,624,
Muniche,1355,
Muniche,628,
Muniche,244,
Muniche,1297,
Muniche,1411,
Muniche,1422,
Muniche,1224,
Muniche,1203,
Muniche,1392,
Muniche,2106,
Muniche,1198,
Muniche,2615,
Muniche,1216,
Muniche,639,
Muniche,674,
Muniche,1405,
Muniche,1267,
Muniche,1942,
Muniche,1333,
Muniche,1231,
Muniche,1233,
Muniche,1221,
Muniche,1240,
Muniche,1229,
Muniche,1493,
Muniche,197,
Muniche,683,
Muniche,1413,
Muniche,1455,
Muniche,1452,
Muniche,1253,
Muniche,156,
Muniche,1725,
Muniche,1019,
Muniche,666,
Muniche,667,
Muniche,670,
Muniche,1218,
Muniche,1728,
Muniche,1449,
Muniche,1274,
Muniche,671,
Muniche,1458,
Muniche,1436,
Muniche,1474,
Muniche,1409,
Muniche,714,
Muniche,1457,
Muniche,1396,
Muniche,1645,
Muniche,1261,
Muniche,1416,
Muniche,2613,
Muniche,1732,
Muniche,1585,
Muniche,1246,
Muniche,1586,
Muniche,778,
Muniche,1234,
Muniche,730,
Muniche,784,
Muniche,1241,
Muniche,1440,
Muniche,1437,
Muniche,1414,
Muniche,1434,
Muniche,1442,
Muniche,1430,
Muniche,1295,
Muniche,857,
Muniche,1404,
Muniche,1421,
Muniche,1343,
Muniche,1573,
Muniche,1439,
Muniche,1220,
Muniche,78,
Muniche,1937,
Muniche,817,
Muniche,1244,
Muniche,2308,
Muniche,2271,
Muniche,1214,
Muniche,1215,
Muniche,492,
Muniche,1456,
Muniche,1917,
Muniche,1205,
Muniche,1380,
Muniche,906,
Muniche,1444,
Muniche,1498,
Muniche,1278,
Muniche,1443,
Muniche,2110,
Muniche,1453,
Muniche,948,
Muniche,1212,
Muniche,1726,
Muniche,1236,
Muniche,1238,
Muniche,1237,
Muniche,1335,
Muniche,1235,
Muniche,1243,
Muniche,1199,
Muniche,960,
Muniche,1257,
Muniche,1454,
Muniche,1340,
Muniche,962,
Muniche,420,
Muniche,1219,
Muniche,1213,
Muniche,1226,
Muniche,1424,
