Doculect	Concept	Form
Ninam	ASH	jɯpɯʃɯpɯ
Ninam	BACK	jaip
Ninam	BIG	pata
Ninam	BITE	soa
Ninam	BITTER	koami
Ninam	BLACK	ɯʃi
Ninam	BLOOD	ĩep
Ninam	BLOW (OF WIND)	hoɾa
Ninam	BONE	piɾi_thɯ̃
Ninam	BREAST	thɯpək
Ninam	COME	hɯima
Ninam	CRY	ɯ̃kɯ
Ninam	DOG	okoɾo
Ninam	DRINK	koa
Ninam	EAR	jɯ̃mɯk
Ninam	EARTH (SOIL)	maʃithak
Ninam	EAT	wa
Ninam	EGG	kaɾaka_thethepək
Ninam	EYE	piɾi_mamo
Ninam	FALL	ke
Ninam	FAR	ɾahami
Ninam	FIRE	wake
Ninam	FISH	jaɾaka
Ninam	FLY (INSECT)	jijo
Ninam	GIVE	hipi
Ninam	GO	hɯ
Ninam	GOOD	totihi
Ninam	HAIR	ʃinak
Ninam	HARD	ɾothotho
Ninam	HE OR SHE OR IT	kama
Ninam	HEAR	hĩɾi
Ninam	HEAVY	hɯɾe
Ninam	HIDE	ʃãho
Ninam	HORN (ANATOMY)	jõɾak
Ninam	HOUSE	jãno
Ninam	I	kamije
Ninam	IN	titi
Ninam	KNEE	mahekok
Ninam	KNOW	tapo
Ninam	LAUGH	kahik_ĩka
Ninam	LEAF	hena
Ninam	UPPER LEG (THIGH)	piɾi_wakɯ
Ninam	LIVER	amok
Ninam	LONG	ɾapa
Ninam	LOUSE	noma
Ninam	MOUTH	kahik
Ninam	NAME	wãha
Ninam	NAVEL	piɾi_minaʃi
Ninam	NECK	piɾi_oɾahi
Ninam	NEW	tito
Ninam	NIGHT	thəm_tɯtɯ_thehe
Ninam	NOSE	hɯ̃kak
Ninam	NOT	pem
Ninam	ONE	mõɾi
Ninam	RAIN (PRECIPITATION)	ma
Ninam	RED	ĩe
Ninam	ROOT	nasiɾik
Ninam	ROPE	thãtha
Ninam	RUN	ɾeɾea
Ninam	SAND	ɾãkak
Ninam	SAY	kɯ
Ninam	SEE	taa
Ninam	SHADE	ɾõɾap
Ninam	SKIN	piɾi_si
Ninam	SMALL	sĩiɾip
Ninam	SMOKE (EXHAUST)	wakiʃi
Ninam	STAND	iɾa
Ninam	STAR	põɾemahɯk
Ninam	SUCK	ɯkɯka
Ninam	SWEET	keteti
Ninam	TAIL	piɾi_ʃina
Ninam	TAKE	jia
Ninam	THICK	jikahi
Ninam	TIE	õka
Ninam	TONGUE	piɾi_aka
Ninam	TOOTH	piɾi_nak
Ninam	WATER	maɯp
Ninam	WHAT	kaɾe
Ninam	WHO	hati
Ninam	WIDE	ɾe
Ninam	WING	poko
Ninam	WIND	watoɾi
Ninam	YESTERDAY	ai_thəmɯhə
Ninam	THOU	kahowa
