Doculect,Concept,Form
AchuarShiwiar,ALL,
AchuarShiwiar,AND,
AchuarShiwiar,ANIMAL,
AchuarShiwiar,ASH,
AchuarShiwiar,AT,
AchuarShiwiar,BACK,
AchuarShiwiar,BAD,
AchuarShiwiar,BARK,
AchuarShiwiar,BECAUSE,
AchuarShiwiar,BELLY,
AchuarShiwiar,BERRY,
AchuarShiwiar,BIG,
AchuarShiwiar,BIRD,
AchuarShiwiar,BITE,
AchuarShiwiar,BLACK,
AchuarShiwiar,BLOOD,
AchuarShiwiar,BLOW (OF WIND),
AchuarShiwiar,BONE,
AchuarShiwiar,BREATHE,
AchuarShiwiar,BURNING,
AchuarShiwiar,CHILD (YOUNG HUMAN),
AchuarShiwiar,CLOUD,
AchuarShiwiar,COLD (OF WEATHER),
AchuarShiwiar,COME,
AchuarShiwiar,COUNT,
AchuarShiwiar,CUT,
AchuarShiwiar,DAY (NOT NIGHT),
AchuarShiwiar,DIE,
AchuarShiwiar,DIG,
AchuarShiwiar,DIRTY,
AchuarShiwiar,DOG,
AchuarShiwiar,DRINK,
AchuarShiwiar,DRY,
AchuarShiwiar,BLUNT,
AchuarShiwiar,DUST,
AchuarShiwiar,EAR,
AchuarShiwiar,EARTH (SOIL),
AchuarShiwiar,EAT,
AchuarShiwiar,EGG,
AchuarShiwiar,EYE,
AchuarShiwiar,FALL,
AchuarShiwiar,FAR,
AchuarShiwiar,FAT (ORGANIC SUBSTANCE),
AchuarShiwiar,FATHER,
AchuarShiwiar,FEAR (BE AFRAID),
AchuarShiwiar,FEATHER,
AchuarShiwiar,FEW,
AchuarShiwiar,FIGHT,
AchuarShiwiar,FIRE,
AchuarShiwiar,FISH,
AchuarShiwiar,FIVE,
AchuarShiwiar,FLOAT,
AchuarShiwiar,FLOW,
AchuarShiwiar,FLOWER,
AchuarShiwiar,FLY (MOVE THROUGH AIR),
AchuarShiwiar,FOG,
AchuarShiwiar,FOOT,
AchuarShiwiar,FOUR,
AchuarShiwiar,FREEZE,
AchuarShiwiar,GIVE,
AchuarShiwiar,GOOD,
AchuarShiwiar,GRASS,
AchuarShiwiar,GREEN,
AchuarShiwiar,GUTS,
AchuarShiwiar,HAIR,
AchuarShiwiar,HAND,
AchuarShiwiar,HE,
AchuarShiwiar,HEAD,
AchuarShiwiar,HEAR,
AchuarShiwiar,HEART,
AchuarShiwiar,HEAVY,
AchuarShiwiar,HERE,
AchuarShiwiar,HIT,
AchuarShiwiar,HOLD,
AchuarShiwiar,HOW,
AchuarShiwiar,HUNT,
AchuarShiwiar,HUSBAND,
AchuarShiwiar,I,
AchuarShiwiar,ICE,
AchuarShiwiar,IF,
AchuarShiwiar,IN,
AchuarShiwiar,KILL,
AchuarShiwiar,KNOW (SOMETHING),
AchuarShiwiar,LAKE,
AchuarShiwiar,LAUGH,
AchuarShiwiar,LEAF,
AchuarShiwiar,LEFT,
AchuarShiwiar,LEG,
AchuarShiwiar,LIE (REST),
AchuarShiwiar,BE ALIVE,
AchuarShiwiar,LIVER,
AchuarShiwiar,LONG,
AchuarShiwiar,LOUSE,
AchuarShiwiar,MALE PERSON,
AchuarShiwiar,MANY,
AchuarShiwiar,FLESH OR MEAT,
AchuarShiwiar,MOTHER,
AchuarShiwiar,MOUNTAIN,
AchuarShiwiar,MOUTH,
AchuarShiwiar,NAME,
AchuarShiwiar,NARROW,
AchuarShiwiar,NEAR,
AchuarShiwiar,NECK,
AchuarShiwiar,NEW,
AchuarShiwiar,NIGHT,
AchuarShiwiar,NOSE,
AchuarShiwiar,NOT,
AchuarShiwiar,OLD,
AchuarShiwiar,ONE,
AchuarShiwiar,OTHER,
AchuarShiwiar,PERSON,
AchuarShiwiar,PLAY,
AchuarShiwiar,PULL,
AchuarShiwiar,PUSH,
AchuarShiwiar,RAIN (RAINING),
AchuarShiwiar,RED,
AchuarShiwiar,CORRECT (RIGHT),
AchuarShiwiar,RIGHT,
AchuarShiwiar,RIVER,
AchuarShiwiar,ROAD,
AchuarShiwiar,ROOT,
AchuarShiwiar,ROPE,
AchuarShiwiar,ROTTEN,
AchuarShiwiar,RUB,
AchuarShiwiar,SALT,
AchuarShiwiar,SAND,
AchuarShiwiar,SAY,
AchuarShiwiar,SCRATCH,
AchuarShiwiar,SEA,
AchuarShiwiar,SEE,
AchuarShiwiar,SEED,
AchuarShiwiar,SEW,
AchuarShiwiar,SHARP,
AchuarShiwiar,SHORT,
AchuarShiwiar,SING,
AchuarShiwiar,SIT,
AchuarShiwiar,SKIN (HUMAN),
AchuarShiwiar,SKY,
AchuarShiwiar,SLEEP,
AchuarShiwiar,SMALL,
AchuarShiwiar,SMELL (PERCEIVE),
AchuarShiwiar,SMOKE (EXHAUST),
AchuarShiwiar,SMOOTH,
AchuarShiwiar,SNAKE,
AchuarShiwiar,SNOW,
AchuarShiwiar,SOME,
AchuarShiwiar,SPIT,
AchuarShiwiar,SPLIT,
AchuarShiwiar,SQUEEZE,
AchuarShiwiar,STAB,
AchuarShiwiar,STAND,
AchuarShiwiar,STAR,
AchuarShiwiar,STICK,
AchuarShiwiar,STONE,
AchuarShiwiar,STRAIGHT,
AchuarShiwiar,SUCK,
AchuarShiwiar,SUN,
AchuarShiwiar,SWELL,
AchuarShiwiar,SWIM,
AchuarShiwiar,TAIL,
AchuarShiwiar,THAT,
AchuarShiwiar,THERE,
AchuarShiwiar,THEY,
AchuarShiwiar,THICK,
AchuarShiwiar,THIN,
AchuarShiwiar,THINK,
AchuarShiwiar,THIS,
AchuarShiwiar,THOU,
AchuarShiwiar,THREE,
AchuarShiwiar,THROW,
AchuarShiwiar,TIE,
AchuarShiwiar,TONGUE,
AchuarShiwiar,TOOTH,
AchuarShiwiar,TREE,
AchuarShiwiar,TURN AROUND,
AchuarShiwiar,TWO,
AchuarShiwiar,VOMIT,
AchuarShiwiar,WALK,
AchuarShiwiar,WARM (OF WEATHER),
AchuarShiwiar,WASH,
AchuarShiwiar,WATER,
AchuarShiwiar,WE,
AchuarShiwiar,WET,
AchuarShiwiar,WHAT,
AchuarShiwiar,WHEN,
AchuarShiwiar,WHERE,
AchuarShiwiar,WHITE,
AchuarShiwiar,WHO,
AchuarShiwiar,WIDE,
AchuarShiwiar,WIFE,
AchuarShiwiar,WIND,
AchuarShiwiar,WING,
AchuarShiwiar,WIPE,
AchuarShiwiar,WITH,
AchuarShiwiar,WOMAN,
AchuarShiwiar,FOREST,
AchuarShiwiar,WORM,
AchuarShiwiar,YOU,
AchuarShiwiar,YEAR,
AchuarShiwiar,YELLOW,
