Doculect	Concept	Form
Wampis	ALL	
Wampis	AND	
Wampis	ANIMAL	
Wampis	ASH	
Wampis	AT	
Wampis	BACK	
Wampis	BAD	
Wampis	BARK	
Wampis	BECAUSE	
Wampis	BELLY	
Wampis	BERRY	
Wampis	BIG	
Wampis	BIRD	
Wampis	BITE	
Wampis	BLACK	
Wampis	BLOOD	
Wampis	BLOW (OF WIND)	
Wampis	BONE	
Wampis	BREATHE	
Wampis	BURNING	
Wampis	CHILD (YOUNG HUMAN)	
Wampis	CLOUD	
Wampis	COLD (OF WEATHER)	
Wampis	COME	
Wampis	COUNT	
Wampis	CUT	
Wampis	DAY (NOT NIGHT)	
Wampis	DIE	
Wampis	DIG	
Wampis	DIRTY	
Wampis	DOG	
Wampis	DRINK	
Wampis	DRY	
Wampis	BLUNT	
Wampis	DUST	
Wampis	EAR	
Wampis	EARTH (SOIL)	
Wampis	EAT	
Wampis	EGG	
Wampis	EYE	
Wampis	FALL	
Wampis	FAR	
Wampis	FAT (ORGANIC SUBSTANCE)	
Wampis	FATHER	
Wampis	FEAR (BE AFRAID)	
Wampis	FEATHER	
Wampis	FEW	
Wampis	FIGHT	
Wampis	FIRE	
Wampis	FISH	
Wampis	FIVE	
Wampis	FLOAT	
Wampis	FLOW	
Wampis	FLOWER	
Wampis	FLY (MOVE THROUGH AIR)	
Wampis	FOG	
Wampis	FOOT	
Wampis	FOUR	
Wampis	FREEZE	
Wampis	GIVE	
Wampis	GOOD	
Wampis	GRASS	
Wampis	GREEN	
Wampis	GUTS	
Wampis	HAIR	
Wampis	HAND	
Wampis	HE	
Wampis	HEAD	
Wampis	HEAR	
Wampis	HEART	
Wampis	HEAVY	
Wampis	HERE	
Wampis	HIT	
Wampis	HOLD	
Wampis	HOW	
Wampis	HUNT	
Wampis	HUSBAND	
Wampis	I	
Wampis	ICE	
Wampis	IF	
Wampis	IN	
Wampis	KILL	
Wampis	KNOW (SOMETHING)	
Wampis	LAKE	
Wampis	LAUGH	
Wampis	LEAF	
Wampis	LEFT	
Wampis	LEG	
Wampis	LIE (REST)	
Wampis	BE ALIVE	
Wampis	LIVER	
Wampis	LONG	
Wampis	LOUSE	
Wampis	MALE PERSON	
Wampis	MANY	
Wampis	FLESH OR MEAT	
Wampis	MOTHER	
Wampis	MOUNTAIN	
Wampis	MOUTH	
Wampis	NAME	
Wampis	NARROW	
Wampis	NEAR	
Wampis	NECK	
Wampis	NEW	
Wampis	NIGHT	
Wampis	NOSE	
Wampis	NOT	
Wampis	OLD	
Wampis	ONE	
Wampis	OTHER	
Wampis	PERSON	
Wampis	PLAY	
Wampis	PULL	
Wampis	PUSH	
Wampis	RAIN (RAINING)	
Wampis	RED	
Wampis	CORRECT (RIGHT)	
Wampis	RIGHT	
Wampis	RIVER	
Wampis	ROAD	
Wampis	ROOT	
Wampis	ROPE	
Wampis	ROTTEN	
Wampis	RUB	
Wampis	SALT	
Wampis	SAND	
Wampis	SAY	
Wampis	SCRATCH	
Wampis	SEA	
Wampis	SEE	
Wampis	SEED	
Wampis	SEW	
Wampis	SHARP	
Wampis	SHORT	
Wampis	SING	
Wampis	SIT	
Wampis	SKIN (HUMAN)	
Wampis	SKY	
Wampis	SLEEP	
Wampis	SMALL	
Wampis	SMELL (PERCEIVE)	
Wampis	SMOKE (EXHAUST)	
Wampis	SMOOTH	
Wampis	SNAKE	
Wampis	SNOW	
Wampis	SOME	
Wampis	SPIT	
Wampis	SPLIT	
Wampis	SQUEEZE	
Wampis	STAB	
Wampis	STAND	
Wampis	STAR	
Wampis	STICK	
Wampis	STONE	
Wampis	STRAIGHT	
Wampis	SUCK	
Wampis	SUN	
Wampis	SWELL	
Wampis	SWIM	
Wampis	TAIL	
Wampis	THAT	
Wampis	THERE	
Wampis	THEY	
Wampis	THICK	
Wampis	THIN	
Wampis	THINK	
Wampis	THIS	
Wampis	THOU	
Wampis	THREE	
Wampis	THROW	
Wampis	TIE	
Wampis	TONGUE	
Wampis	TOOTH	
Wampis	TREE	
Wampis	TURN AROUND	
Wampis	TWO	
Wampis	VOMIT	
Wampis	WALK	
Wampis	WARM (OF WEATHER)	
Wampis	WASH	
Wampis	WATER	
Wampis	WE	
Wampis	WET	
Wampis	WHAT	
Wampis	WHEN	
Wampis	WHERE	
Wampis	WHITE	
Wampis	WHO	
Wampis	WIDE	
Wampis	WIFE	
Wampis	WIND	
Wampis	WING	
Wampis	WIPE	
Wampis	WITH	
Wampis	WOMAN	
Wampis	FOREST	
Wampis	WORM	
Wampis	YOU	
Wampis	YEAR	
Wampis	YELLOW	
